,novel_obj_list,check_obj_list,mahanalobis_distance,p_value,significance
291,novel_object_2_1_8,tnt,1151.2931849323213,0.0,True
292,novel_object_2_1_8,platform,1024.5702375993133,0.0,True
293,novel_object_2_1_8,ice,1002.0152121919673,0.0,True
294,novel_object_2_1_8,pig,774.4569563120604,0.0,True
295,novel_object_2_1_8,stone,976.7962522730231,0.0,True
296,novel_object_2_1_8,wood,998.1923202045728,0.0,True
297,novel_object_3_1_8,bird_black,979.1208063922822,0.0,True
298,novel_object_3_1_8,bird_blue,207.4274698495865,0.9883892010185007,False
299,novel_object_3_1_8,bird_red,883.2157098688185,0.0,True
300,novel_object_3_1_8,bird_white,1375.3357632160187,0.0,True
301,novel_object_3_1_8,bird_yellow,1038.3799751400948,0.0,True
302,novel_object_3_1_8,tnt,993.4614542648196,0.0,True
303,novel_object_3_1_8,platform,1064.5823834333569,0.0,True
304,novel_object_3_1_8,ice,1027.5459550367668,0.0,True
305,novel_object_3_1_8,pig,988.9678999446332,0.0,True
306,novel_object_3_1_8,stone,951.7639595083892,0.0,True
307,novel_object_3_1_8,wood,955.4586469866335,0.0,True
308,novel_object_4_1_8,bird_black,969.9656230187975,0.0,True
309,novel_object_4_1_8,bird_blue,1097.2430977523327,0.0,True
310,novel_object_4_1_8,bird_red,767.9632875323296,0.0,True
311,novel_object_4_1_8,bird_white,10.653466522693634,1.0,False
312,novel_object_4_1_8,bird_yellow,1006.2882407940924,0.0,True
313,novel_object_4_1_8,tnt,1138.553657412529,0.0,True
314,novel_object_4_1_8,platform,980.5196879282594,0.0,True
315,novel_object_4_1_8,ice,1031.9263364430517,0.0,True
316,novel_object_4_1_8,pig,973.1269849836826,0.0,True
317,novel_object_4_1_8,stone,917.5694268420339,0.0,True
318,novel_object_4_1_8,wood,1003.0336449742317,0.0,True
319,novel_object_5_1_8,bird_black,1010.226591699291,0.0,True
320,novel_object_5_1_8,bird_blue,1453.4111836701632,0.0,True
321,novel_object_5_1_8,bird_red,1002.6674722097814,0.0,True
322,novel_object_5_1_8,bird_white,1207.1329525709152,0.0,True
323,novel_object_5_1_8,bird_yellow,1048.735888414085,0.0,True
324,novel_object_5_1_8,tnt,888.5669845677912,0.0,True
325,novel_object_5_1_8,platform,863.141045153141,0.0,True
326,novel_object_5_1_8,ice,1032.8876767670736,0.0,True
327,novel_object_5_1_8,pig,1064.7772726127878,0.0,True
328,novel_object_5_1_8,stone,953.7624736074358,0.0,True
329,novel_object_5_1_8,wood,1000.9124825480394,0.0,True
330,novel_object_6_1_8,bird_black,977.5096632977948,0.0,True
331,novel_object_6_1_8,bird_blue,1505.2306184470654,0.0,True
332,novel_object_6_1_8,bird_red,1301.1422059834003,0.0,True
333,novel_object_6_1_8,bird_white,952.5330936126411,0.0,True
334,novel_object_6_1_8,bird_yellow,868.5934126004577,0.0,True
335,novel_object_6_1_8,tnt,957.9240472465754,0.0,True
336,novel_object_6_1_8,platform,918.6721125654876,0.0,True
337,novel_object_6_1_8,ice,1022.2409612064948,0.0,True
338,novel_object_6_1_8,pig,981.4572477892507,0.0,True
339,novel_object_6_1_8,stone,977.6545570194721,0.0,True
340,novel_object_6_1_8,wood,1018.2695490410551,0.0,True
341,novel_object_7_1_8,bird_black,990.457592538558,0.0,True
342,novel_object_7_1_8,bird_blue,1274.944481164217,0.0,True
343,novel_object_7_1_8,bird_red,982.7499409466982,0.0,True
344,novel_object_7_1_8,bird_white,1069.836441591382,0.0,True
345,novel_object_7_1_8,bird_yellow,1133.7641270756721,0.0,True
